npcId;stamina;hunger;hour;socialClass;socialStatus;leisure;priority;trait_extraversion;trait_agreeableness;trait_conscientiousness;trait_emotional_stability;trait_openness_exp;acao_alvo
d83902e9-dca8-4162-b5bf-f10f4d739f40;1;0.0149999885;0.059583332;0;0;0.010000001;0;0.43572074;0.09987527;0.7954113;0.21415645;0.69662726;0
28f5cca2-62c6-4aa4-aaac-d3faa42d0654;1;0.0149999885;0.059604168;0;0;0.010000001;0;0.6933405;0.053743362;0.1616137;0.4766599;0.72121626;0
487f2431-4c14-4b66-99d0-bfcc00aab05b;1;0.0149999885;0.059604168;0;0;0.010000001;0;0.45024204;0.077522755;0.20777881;0.09070778;0.61096257;0
9bbd6903-aede-43f3-bccd-56a26666960c;1;0.0149999885;0.059625;0;0;0.010000001;0;0.4250145;0.3426783;0.5982507;0.26850682;0.9438717;0
240aa71f-6f9c-4906-82b2-2cc4e3c560a2;1;0.0149999885;0.059625;0;0;0.010000001;0;0.6401673;0.43625742;0.41633505;0.004151821;0.18549055;0
25f93a76-0892-40fb-9763-d2f8b18ab6fa;1;0.0149999885;0.059625;0;0;0.010000001;0;0.48351413;0.5227851;0.9452174;0.86983454;0.94521326;0
f4255d3d-2608-4081-8bcc-188642ca3260;1;0.0149999885;0.059625;0;0;0.010000001;0;0.66932815;0.4943745;0.77665967;0.19341552;0.67453283;0
c6f4969c-4d14-4f7d-b1c4-5cf61018b2ec;1;0.0149999885;0.059625;0;0;0.010000001;0;0.630631;0.40939856;0.77413756;0.88321215;0.50556225;2
537e67db-33af-43c5-96bf-84123a2cb7df;1;0.0149999885;0.05964583;0;0;0.010000001;0;0.12932748;0.6079684;0.65381235;0.9706403;0.19245875;0
65f684ff-61d1-4c87-8c8c-c74a138abcde;1;0.0149999885;0.05964583;0;0;0.010000001;0;0.6148355;0.813758;0.08209646;0.133291;0.24104649;0
d83902e9-dca8-4162-b5bf-f10f4d739f40;1;0.030000016;0.0778125;0;0;0.019999977;0;0.43572074;0.09987527;0.7954113;0.21415645;0.69662726;0
28f5cca2-62c6-4aa4-aaac-d3faa42d0654;1;0.030000016;0.07783333;0;0;0.019999977;0;0.6933405;0.053743362;0.1616137;0.4766599;0.72121626;0
487f2431-4c14-4b66-99d0-bfcc00aab05b;1;0.030000016;0.07783333;0;0;0.019999977;0;0.45024204;0.077522755;0.20777881;0.09070778;0.61096257;0
9bbd6903-aede-43f3-bccd-56a26666960c;1;0.030000016;0.077854164;0;0;0.019999977;0;0.4250145;0.3426783;0.5982507;0.26850682;0.9438717;0
240aa71f-6f9c-4906-82b2-2cc4e3c560a2;1;0.030000016;0.077854164;0;0;0.019999977;0;0.6401673;0.43625742;0.41633505;0.004151821;0.18549055;1
25f93a76-0892-40fb-9763-d2f8b18ab6fa;1;0.030000016;0.077874996;0;0;0.019999977;0;0.48351413;0.5227851;0.9452174;0.86983454;0.94521326;0
f4255d3d-2608-4081-8bcc-188642ca3260;1;0.030000016;0.077874996;0;0;0.019999977;0;0.66932815;0.4943745;0.77665967;0.19341552;0.67453283;0
c6f4969c-4d14-4f7d-b1c4-5cf61018b2ec;0.9900007;0;0.077895835;0;0;0;0;0.630631;0.40939856;0.77413756;0.88321215;0.50556225;0
537e67db-33af-43c5-96bf-84123a2cb7df;1;0.030000016;0.077895835;0;0;0.019999977;0;0.12932748;0.6079684;0.65381235;0.9706403;0.19245875;0
65f684ff-61d1-4c87-8c8c-c74a138abcde;1;0.030000016;0.07791667;0;0;0.019999977;0;0.6148355;0.813758;0.08209646;0.133291;0.24104649;0
d83902e9-dca8-4162-b5bf-f10f4d739f40;1;0.045250047;0.09897917;0;0;0.030166589;0;0.43572074;0.09987527;0.7954113;0.21415645;0.69662726;2
28f5cca2-62c6-4aa4-aaac-d3faa42d0654;1;0.045250047;0.09897917;0;0;0.030166589;0;0.6933405;0.053743362;0.1616137;0.4766599;0.72121626;0
487f2431-4c14-4b66-99d0-bfcc00aab05b;1;0.045250047;0.099;0;0;0.030166589;0;0.45024204;0.077522755;0.20777881;0.09070778;0.61096257;0
9bbd6903-aede-43f3-bccd-56a26666960c;1;0.045250047;0.099;0;0;0.030166589;0;0.4250145;0.3426783;0.5982507;0.26850682;0.9438717;3
240aa71f-6f9c-4906-82b2-2cc4e3c560a2;0.97966814;0.045250047;0.09902083;0;0;0.030166589;0;0.6401673;0.43625742;0.41633505;0.004151821;0.18549055;0
25f93a76-0892-40fb-9763-d2f8b18ab6fa;1;0.045250047;0.09902083;0;0;0.030166589;0;0.48351413;0.5227851;0.9452174;0.86983454;0.94521326;4
